id;client_id;created_date;updated_date;deleted_date;lastname;firstname;gender;salutation;title;birthday_day;birthday_month;birthday_alt_month;anniversary_day;anniversary_month;company;email;email_alt;phone_number;phone_numberlocale;phone_numberalt;phone_numberaltlocale;address;address_2;city;postal_code;state;country;is_contact_private;is_onetime_guest;status;loyalty_id;loyalty_rank;loyalty_tier;marketing_optin;marketing_optints;marketing_opt_outts;has_billing_profile;notes;private_notes;tags;total_visits;total_covers;total_cancellations;total_no_shows;total_spend;total_spend_per_cover;totalspend_per_visit;avg_rating;reference_code;external_user_id;venue_group_id;birthday_alt_day;user_id;user_name;total_order_count;preferred_language_code
1;ischemia whoa freighter;circumvent until;ick;moth redesign amused;only cluttered;insolence worth gratefully;after;bleakly which ah;whenever;6958;17306;3116;9442;6973;onto;Twila_Shanahan-Ziemann69@gmail.com;fearless;although authorized psst;stealthily knottily;ironclad where beyond;woot;excepting anything drat;delay before;New Garry;quiet unfit;tall among till;Mayotte;false;false;customise fiercely unaccountably;incidentally;12604;punctually instead;true;tenement;kiddingly vain oof;false;oxidise doing;variable vernacular associate;plus duh across;32654.88;15407.98;26099.89;23754.68;27417.59;4111.87;9506.59;1951.22;fearful blissfully rehospitalisation;slight friction;drat and;17361;yum majestically green;a and;28574;judgment across
2;why;oof;abase;calmly;ultimately vice but;mmm dramatic;brisk stormy watery;oh entity;pfft highlight;20409;3486;1439;501;11397;sniffle woot postbox;Litzy77@yahoo.com;selfishly;amid focus pish;backpack partridge considering;joggle;generosity though;however;blah dragoon likewise;New Marcel;knowingly revival flag;abaft greatly;Niue;true;true;pluralise;although;29138;lest who;true;whether yet amazon;surcharge pish accredit;true;where;nag aha;beside altitude;27577.12;29483.98;25354.29;26983.52;11507.68;28636.26;25053.19;3694.54;but regarding;blaring geez phooey;consequently afore;24702;treat ah;bah uh-huh likewise;22336;carefully yuck lemur
3;but chub ha;showy;nicely uncork oh;carefully;bid;bulk ex-husband;ugh;unpleasant determined;suddenly how;21636;12061;32604;15484;1677;near brr;Kaylin_Okuneva31@yahoo.com;offload unsteady;dialect divide;pish via season;kitten;ouch justify;er truly what;lifetime ruddy;Nolantown;wield;boohoo grand blah;Togo;true;true;uh-huh ump into;anchored;7769;but inasmuch;true;huzzah tactile misfile;ick;false;parsnip blah unless;why;optimistic deliberately not;7664.15;11227.07;19391.57;14632.4;26230.09;10723.74;21578.12;21428.13;rapidly annually;ornate bewitched;towards hm headline;3930;which profession;speedy;18165;searchingly why
4;unlike;boo;mmm;silver invade;inhabit by;important greatly anaesthetize;carelessly;dearly;quench;17365;25858;18746;9006;18371;faithfully above cage;Lupe_Koepp16@hotmail.com;huzzah every;as masticate cold;behind extremely;underneath provided;sweetly astride ah;curiously remunerate;gee um;Dietrichboro;openly conservative slushy;opposite;Indonesia;true;true;caper onto sans;tomorrow teleconference;18889;snakebite;true;tingle mint ha;among;false;prescind whether;boastfully gee blah;oof uh-huh possess;32712.98;29475.94;14193.54;17596.48;30311.49;4376.23;13541.42;24001.1;clot;toward toad;reassess;22229;abjure humble consequently;without;3406;tic humour zowie
5;aboard astride inasmuch;where;slimy gah;statin oh enthusiastically;for pepper because;wherever;misjudge;planter speedy ack;ick;16259;2612;10318;286;31022;but;Shad_Gleichner98@hotmail.com;hence saffron;finally before;nice mature knotty;vivaciously complete;enormously;plug hm;yuck;Port Ninaberg;ratify yesterday;duh loathe overcharge;New Zealand;true;true;jealously;along;3593;yippee smart;true;energetically;following forage boohoo;true;consequently than ride;emanate upon hug;access bulky;28179.25;2840.73;625.89;6056.07;7031.85;27780.97;25585.32;12482.69;before;pish what where;reasoning demoralise ew;15512;unique;yet;22837;except
6;indeed helplessly;worriedly;simple unknown forenenst;unless mobility;huzzah until musician;alpenhorn rarely;that;and knowing disallow;vaccine;29891;10615;12182;19184;13664;conscientize ick oh;Valentina34@hotmail.com;storm epic definitive;easily;wild softly;viciously;afterwards priority geez;beside whereas;for tortellini spectacular;Port Morgan;unique up;near buff;Guam;false;false;readily;scavenge;26783;consequently testing;true;than;bravely supposing;true;than;failing;gracefully er;28369.93;3544.22;631.07;19254.54;13976.59;14875.37;138.41;61.11;oh;around acidly while;welcome;27696;aha how surprisingly;within;32582;kindhearted
7;thankful supposing guilty;blah;heavily for transpire;down minus;next bone eek;rewarding part;because cannibalize;prospect yearningly;unabashedly alongside ruffle;4192;14674;6244;15745;16149;psst;Jodie24@gmail.com;brr ha loving;clearance;till bronze;er an after;confound;double moist;bubbly;New Sammy;pannier especially roughly;regularly flaunt sherbet;Argentina;true;true;considering till most;around savior supposing;5482;yawn pfft;true;while flit;towards phooey;true;politely;mustache amongst whose;however yearningly;12401.52;5843.12;6792.54;21932.83;28759.67;11960.55;23283.8;11013.14;sadly rescue;including supposing;fritter;1744;opposite awkward nervously;but truthfully;8594;hm
8;once anti concerning;impractical smite;zigzag sprain besides;diligently;aw alive;coliseum;blub ack;once odd;yuck;5373;11604;8327;9674;14993;but justly;Haylie_Dare65@hotmail.com;inflect badly whether;jaggedly yippee ah;colony southeast meanwhile;mid shimmering once;er;gosh without reassuringly;yippee grace walkway;Streichshire;aside a;forsake smug defiantly;Sint Maarten;false;false;sleepy approximate handsaw;upward grandparent gee;18913;nor yuck;true;vice drat;er;true;pole fiery voluntarily;mortify;flowery thrive;8254.06;13923.23;12592.4;8959.46;6500.55;23804.03;32639.45;19891.74;irritably apud;reassuringly yowza unfortunately;harbour toilet beneath;18094;eek;finalize;12558;past naturally surprisingly
9;circa bashfully macaroon;master benefit;ugh canvass against;instead hm an;belated;shot and;minus;like publisher;how;19087;3086;26278;25488;30513;hmph mmm tinted;Maxine95@gmail.com;march word;huzzah;requisition;kissingly ignorant oval;after jolly geez;properly lift;amid gadzooks classic;Veumland;warped fair aboard;distress loot;Macao;true;false;epithelium quirkily;sweet slapstick despite;16076;like beginner zowie;true;excepting positively;mmm kiddingly inside;false;extradite substance select;till epauliere fertilize;loads;1482.66;26750.67;15011.54;20710.85;10655.63;13708.74;32329.99;2624.76;gosh distant till;uniform hmph;hourly;6560;than even triangular;plus;32644;who
10;pish scarcely;honest fatally;pity smolt amidst;nonstop obtrude although;notwithstanding now;regarding fourths boo;powerless;since er;ambassador prey;23334;28820;32573;3554;6272;hmph flap until;Hayley4@gmail.com;um troubled tomb;demand pale tavern;bashfully succor;mishit yesterday evergreen;metallurgist blah;if;ack;Boca Raton;unabashedly hmph delightfully;onto geez;Guernsey;false;true;uninstall;unabashedly;6649;psst;false;leafy;uselessly;false;powerful;unless within;diphthongise trusting brr;31671.54;21000.04;10551.66;32056.74;11399.29;28702.93;13701.49;6846.87;gah joyous;whether kindheartedly;what serialise who;27411;wobbly travel barring;gaze pish sans;19527;miscommunication beckon
